(gpt2) ➜  gpt2 torchrun --nproc_per_node=1 gpt2.py
[W730 18:43:23.540930749 socket.cpp:764] [c10d] The client socket cannot be initialized to connect to [localhost]:38185 (errno: 97 - Address
 family not supported by protocol).
[W730 18:43:23.542492110 socket.cpp:764] [c10d] The client socket cannot be initialized to connect to [localhost]:38185 (errno: 97 - Address
 family not supported by protocol).
[W730 18:43:23.544358295 socket.cpp:764] [c10d] The client socket cannot be initialized to connect to [localhost]:38185 (errno: 97 - Address
 family not supported by protocol).
[W730 18:43:23.590122524 socket.cpp:764] [c10d] The client socket cannot be initialized to connect to [::ffff:10.232.154.92]:43871 (errno: 9
7 - Address family not supported by protocol).
[W730 18:43:25.343046062 socket.cpp:764] [c10d] The client socket cannot be initialized to connect to [::ffff:10.232.154.92]:43871 (errno: 9
7 - Address family not supported by protocol).
total desired batch size: 524288
=> calculated gradient accumulation steps: 8
found 99 shards for split train
found 1 shards for split val
num decayed parameter tensors: 50, with 124,354,560 params
num non-decayed parameter tensors: 98, with 121,344, params
using fused AdamW: True
compiling the model...
[rank0]:W0730 18:43:30.183000 47336 .venv/lib/python3.11/site-packages/torch/_logging/_internal.py:1345] [0/0] Profiler record function <cla
ss 'torch.autograd.profiler.record_function'> will be ignored
step     0 | val loss 10.95168
step     0 | loss 10.95501 | lr 8.3916e-07 | norm 15.3420 | dt: 11.79s | tok/sec 44467.64
step     1 | loss 10.90273 | lr 1.6783e-06 | norm 14.8631 | dt: 1.14s | tok/sec 460651.82
step     2 | loss 10.80400 | lr 2.5175e-06 | norm 14.4641 | dt: 1.14s | tok/sec 460118.52
step     3 | loss 10.66226 | lr 3.3566e-06 | norm 12.9317 | dt: 1.14s | tok/sec 459498.29
step     4 | loss 10.51888 | lr 4.1958e-06 | norm 10.5764 | dt: 1.14s | tok/sec 460501.43
step     5 | loss 10.37719 | lr 5.0350e-06 | norm 8.8722 | dt: 1.14s | tok/sec 460009.56
step     6 | loss 10.25801 | lr 5.8741e-06 | norm 7.5766 | dt: 1.14s | tok/sec 459624.39
step     7 | loss 10.14806 | lr 6.7133e-06 | norm 6.4500 | dt: 1.14s | tok/sec 459350.47
step     8 | loss 10.03720 | lr 7.5524e-06 | norm 5.5079 | dt: 1.14s | tok/sec 459135.83
step     9 | loss 9.96289 | lr 8.3916e-06 | norm 4.5957 | dt: 1.14s | tok/sec 458258.16
step    10 | loss 9.87755 | lr 9.2308e-06 | norm 3.8985 | dt: 1.15s | tok/sec 457867.52
step    11 | loss 9.83031 | lr 1.0070e-05 | norm 3.3753 | dt: 1.14s | tok/sec 459484.56
step    12 | loss 9.78388 | lr 1.0909e-05 | norm 2.9943 | dt: 1.14s | tok/sec 458705.62
step    13 | loss 9.74655 | lr 1.1748e-05 | norm 2.7051 | dt: 1.14s | tok/sec 460046.90
step    14 | loss 9.68685 | lr 1.2587e-05 | norm 2.5537 | dt: 1.14s | tok/sec 459786.80
step    15 | loss 9.66474 | lr 1.3427e-05 | norm 2.4625 | dt: 1.14s | tok/sec 459146.76
step    16 | loss 9.65028 | lr 1.4266e-05 | norm 2.3405 | dt: 1.14s | tok/sec 458441.11
step    17 | loss 9.62725 | lr 1.5105e-05 | norm 2.2913 | dt: 1.15s | tok/sec 457248.50
step    18 | loss 9.67637 | lr 1.5944e-05 | norm 2.2992 | dt: 1.14s | tok/sec 458839.61
step    19 | loss 9.67004 | lr 1.6783e-05 | norm 2.4048 | dt: 1.14s | tok/sec 458384.82
step    20 | loss 9.57369 | lr 1.7622e-05 | norm 2.2413 | dt: 1.14s | tok/sec 458609.09
step    21 | loss 9.53881 | lr 1.8462e-05 | norm 2.2908 | dt: 1.14s | tok/sec 457949.24
step    22 | loss 9.52338 | lr 1.9301e-05 | norm 2.2467 | dt: 1.15s | tok/sec 456989.18
step    23 | loss 9.50998 | lr 2.0140e-05 | norm 2.2021 | dt: 1.15s | tok/sec 457153.35
step    24 | loss 9.44795 | lr 2.0979e-05 | norm 2.2100 | dt: 1.15s | tok/sec 457181.48
step    25 | loss 9.41290 | lr 2.1818e-05 | norm 2.1785 | dt: 1.15s | tok/sec 456964.87
step    26 | loss 9.39629 | lr 2.2657e-05 | norm 2.0777 | dt: 1.15s | tok/sec 457641.03
step    27 | loss 9.35100 | lr 2.3497e-05 | norm 2.1161 | dt: 1.15s | tok/sec 456712.89
step    28 | loss 9.32425 | lr 2.4336e-05 | norm 2.1169 | dt: 1.15s | tok/sec 457512.11
step    29 | loss 9.27299 | lr 2.5175e-05 | norm 2.1095 | dt: 1.15s | tok/sec 456026.42
step    30 | loss 9.30857 | lr 2.6014e-05 | norm 2.0539 | dt: 1.15s | tok/sec 455831.13
